Node,SIR,Infected_sum,Normalized_SIR
121,0.04829,0,0.22884534047652613
122,0.039742,0,0.180640067672353
123,0.043887,0,0.20401522627943042
124,0.074851,0,0.37863245453263783
125,0.048415,0,0.22955026082052726
126,0.053138,0,0.2561849710982659
127,0.083099,0,0.42514591851120825
128,0.070291,0,0.3529169603834767
129,0.076409,0,0.3874185817002679
130,0.032877,0,0.1419258423798111
131,0.036723,0,0.16361483152403775
132,0.084844,0,0.434986606513464
133,0.069689,0,0.3495220640067672
134,0.069936,0,0.35091498660651343
135,0.047359,0,0.22359509375440573
136,0.063745,0,0.31600169180882554
137,0.052133,0,0.2505174115324968
138,0.060387,0,0.2970647116875793
139,0.053584,0,0.2587001268856619
140,0.065092,0,0.3235979134357817
141,0.05118,0,0.24514309882983223
142,0.060234,0,0.2962018891865219
143,0.035445,0,0.15640772592697022
144,0.057885,0,0.2829550260820527
145,0.053957,0,0.2608036091921612
146,0.063103,0,0.3123812209220358
147,0.061554,0,0.30364584801917377
148,0.032574,0,0.14021711546595234
149,0.077426,0,0.39315381361906104
150,0.060566,0,0.2980741576201889
151,0.051185,0,0.24517129564359225
152,0.057672,0,0.28175384181587476
153,0.063896,0,0.3168532355843789
154,0.059708,0,0.29323558437896513
155,0.048005,0,0.22723812209220356
156,0.034333,0,0.15013675454673622
157,0.038531,0,0.1738107993796701
158,0.055724,0,0.2707683631749612
159,0.066913,0,0.33386719300719014
160,0.062392,0,0.3083716340053574
161,0.042398,0,0.19561821514168895
162,0.047513,0,0.22446355561821513
163,0.040875,0,0.18702946567037923
164,0.074337,0,0.3757338220781052
165,0.030968,0,0.13116029888622585
166,0.027003,0,0.10880022557451006
167,0.053929,0,0.260645707035105
168,0.029335,0,0.1219512195121951
169,0.05301,0,0.25546313266600873
170,0.033789,0,0.14706894120964328
171,0.070163,0,0.3521951219512195
172,0.059989,0,0.2948202453122797
173,0.052506,0,0.25262089383899616
174,0.03139,0,0.13354010996757365
175,0.077045,0,0.39100521641054564
176,0.037809,0,0.16973917947271958
177,0.041175,0,0.18872127449598194
178,0.070753,0,0.35552234597490484
179,0.042439,0,0.19584942901452132
180,0.069022,0,0.34576060905117717
181,0.059196,0,0.29034823064993653
182,0.038676,0,0.1746285069787114
183,0.06438,0,0.31958268715635135
184,0.072246,0,0.3639419145636543
185,0.055642,0,0.27030593542929643
186,0.05268,0,0.2536021429578457
187,0.059379,0,0.2913802340335542
188,0.099166,0,0.5157535598477372
189,0.036684,0,0.16339489637670943
190,0.029363,0,0.12210912166925136
191,0.053286,0,0.2570195967855632
192,0.053072,0,0.25581277315663326
193,0.048111,0,0.22783589454391653
194,0.048042,0,0.2274467785140279
195,0.066549,0,0.33181446496545886
196,0.077149,0,0.39159171013675453
197,0.069572,0,0.34886225856478215
198,0.058057,0,0.28392499647539826
199,0.073957,0,0.3735908642323417
200,0.040414,0,0.18442971944170305
201,0.051161,0,0.24503595093754402
202,0.103087,0,0.5378655011983646
203,0.041622,0,0.19124206964612997
204,0.032825,0,0.1416325955167066
205,0.036273,0,0.1610771182856337
206,0.075207,0,0.38064006767235303
207,0.043829,0,0.20368814323981388
208,0.059762,0,0.2935401099675736
209,0.059899,0,0.29431270266459886
210,0.02305,0,0.08650782461581842
211,0.035313,0,0.15566333004370503
212,0.069342,0,0.3475652051318201
213,0.04962,0,0.2363456929366981
214,0.059981,0,0.2947751304102636
215,0.025498,0,0.10031298463273648
216,0.034359,0,0.15028337797828845
217,0.056597,0,0.27569152685746506
218,0.043887,0,0.20401522627943042
219,0.036243,0,0.1609079374030734
220,0.055576,0,0.26993373748766386
