Node,WiD1,WiD2,WiD3
603,13,97,1024
604,8,219,2407
605,5,72,900
606,3,81,1189
607,3,50,650
608,5,34,675
609,4,43,456
610,5,43,718
611,7,71,754
612,16,171,1770
613,6,69,635
614,11,58,555
615,13,80,778
616,2,234,2555
617,10,250,2873
618,8,92,921
619,5,134,1502
620,10,76,552
621,4,49,738
622,10,81,805
623,9,100,1267
624,6,45,603
625,3,51,415
626,7,92,925
627,3,305,2975
628,11,227,2710
629,5,56,508
630,2,49,488
631,8,61,534
632,19,133,1310
633,2,74,897
634,5,207,2051
635,5,96,854
636,7,56,556
637,2,25,417
638,4,73,751
639,11,67,631
640,4,32,301
641,7,42,689
642,8,72,756
643,4,48,506
644,4,33,434
645,4,211,2427
646,8,83,981
647,13,235,2257
648,6,89,753
649,6,65,440
650,5,113,1208
651,5,55,611
652,3,49,568
653,4,383,3943
654,35,195,3253
655,4,115,1567
656,17,138,1621
657,4,74,1062
658,5,100,1070
659,2,226,2295
660,7,146,1388
661,4,60,1003
662,20,102,1238
663,16,169,1958
664,7,83,694
665,5,115,1576
666,10,99,982
667,6,66,688
668,11,74,597
669,13,101,1074
670,3,52,511
671,3,143,1427
672,11,63,745
673,6,58,528
674,6,59,747
675,2,121,1616
676,2,34,383
677,7,70,562
678,4,33,259
679,6,35,584
680,4,223,2337
681,6,143,1540
682,5,70,822
683,9,101,997
684,8,137,1550
685,10,105,1017
686,11,106,891
687,5,33,262
688,9,109,1137
689,2,20,261
690,4,204,2050
691,9,56,561
692,3,38,415
693,8,223,2415
694,2,92,1033
695,4,45,385
696,7,39,596
697,2,31,313
698,12,85,1043
699,2,12,264
700,3,70,873
701,2,18,209
702,4,43,475
703,13,252,2672
704,2,19,173
705,7,52,404
706,5,48,431
707,6,57,629
708,9,93,959
709,8,225,2274
710,10,139,1447
711,3,26,211
712,9,148,1927
713,7,37,394
714,6,61,600
715,7,50,552
716,10,92,968
717,3,50,452
718,2,25,323
719,4,119,1553
720,7,145,1839
721,10,111,1266
722,18,307,3159
723,3,56,369
724,5,75,1041
725,4,77,1178
726,6,211,2459
727,16,249,2987
728,3,113,1292
729,7,92,1228
730,4,205,2380
731,20,150,1552
732,11,144,1529
733,4,52,442
